id,date,source,brand,product,text,label
1117,2026-04-07,Review,Summit,order flow,The product page on Summit seems simple! Nothing really stood out! Nothing major to flag!,Neutral
1369,2026-05-04,Review,Acme,mobile app,I tested Acme's mobile app today; the product page looks basic! Nothing really stood out! There are a few positives and a few limits! any update?,Neutral
423,2026-01-11,Review,Vertex,mobile app,"Honestly, the dashboard on Vertex is fast. The experience felt worth it. #loveit",Positive
414,2026-01-12,Comment,Nimbus,dashboard,"Nimbus's dashboard is useful when it comes to checkout. The experience felt worth it. Not perfect, but definitely better than expected.",Positive
452,2026-01-16,Review,Acme,pricing,"Honestly, the pricing on Acme is fast. The overall flow feels smooth.",Positive
862,2026-03-04,Comment,Atlas,product quality,Atlas's product quality keeps causing problems! The checkout is awkward! It slowed everything down! fr,Negative
1064,2026-03-27,Review,Pulse,app,Pulse's app is decent for the pricing. That is about it. It looks fine for everyday use. 🙃 #test,Neutral
742,2026-02-18,Twitter,Atlas,service,I am frustrated by Atlas's service; the payment feels clunky. The whole process felt annoying. The whole thing felt more stressful than it should have been. #annoyed,Negative
1273,2026-04-25,Twitter,Nimbus,mobile app,Mobile app from Nimbus is basic overall. That is about it. I might need more time before judging it properly.!! (comment),Neutral
260,2025-12-21,Review,Spark,product quality,"The latest update from Spark feels clean. The pricing part is clean. The experience felt worth it. Not perfect, but definitely better than expected.",Positive
889,2026-03-07,Comment,Spark,delivery,This version of the delivery from Spark is clunky; the payment is still a problem. The whole process felt annoying. Support kept sending the same reply. any update?,Negative
1433,2026-05-12,Twitter,Nova,support team,I used the support team from Nova for a bit and it felt okay. I did not notice anything major.,Neutral
713,2026-02-13,Twitter,Nova,support team,This version of the support team from Nova is glitchy; the refunds is still a problem. I still had to repeat myself twice. This needs a proper fix before launch. #needsfixing,Negative
1383,2026-05-07,Comment,Orbit,delivery,Orbit's delivery is simple for the support! That is about it!,Neutral
71,2025-11-29,Twitter,Vertex,product quality,"Honestly, the dashboard on Vertex is fast. I would use it again. Small issues, but nothing that ruined it. any update? (review)",Negative
1269,2026-04-25,Comment,Orbit,dashboard,Dashboard from Orbit is okay overall. I did not notice anything major. someone help,Neutral
1492,2026-05-22,Review,Vertex,delivery,I checked Vertex's delivery today; the mobile app looks acceptable. That is about it.,Neutral
608,2026-02-04,Twitter,Vertex,dashboard,This version of the dashboard from Vertex is unhelpful; the support is still a problem. I still had to repeat myself twice. great job,Negative
434,2026-01-13,Review,Zenith,customer care,The latest update from Zenith feels clean. The onboarding part is clean. The overall flow feels smooth.,Positive
52,2025-11-26,Review,Acme,pricing,Acme's pricing is solid when it comes to app. It saved me a lot of time.,Positive
1200,2026-04-16,Twitter,Nova,product quality,Product quality from Nova is fine overall! That is about it! 😅,Neutral
1129,2026-04-04,Review,Orbit,customer care,The order flow on Orbit seems middle of the road! It felt pretty average overall! #test,Neutral
1191,2026-04-12,Twitter,Zenith,customer care,The product page on Zenith seems basic. That is about it. :),Neutral
1250,2026-04-19,Twitter,Spark,checkout,The feature list on Spark seems ordinary. It felt pretty average overall.,Neutral
