id,date,source,brand,product,text,label,clean_text
1117,2026-04-07,Review,Summit,order flow,The product page on Summit seems simple! Nothing really stood out! Nothing major to flag!,Neutral,product page summit simple really stood major flag
1369,2026-05-04,Review,Acme,mobile app,I tested Acme's mobile app today; the product page looks basic! Nothing really stood out! There are a few positives and a few limits! any update?,Neutral,tested acme mobile app today product page looks basic really stood positives limits update
423,2026-01-11,Review,Vertex,mobile app,"Honestly, the dashboard on Vertex is fast. The experience felt worth it. #loveit",Positive,honestly dashboard vertex fast experience felt worth loveit
414,2026-01-12,Comment,Nimbus,dashboard,"Nimbus's dashboard is useful when it comes to checkout. The experience felt worth it. Not perfect, but definitely better than expected.",Positive,nimbus dashboard useful comes checkout experience felt worth not perfect definitely better expected
452,2026-01-16,Review,Acme,pricing,"Honestly, the pricing on Acme is fast. The overall flow feels smooth.",Positive,honestly pricing acme fast overall flow feels smooth
862,2026-03-04,Comment,Atlas,product quality,Atlas's product quality keeps causing problems! The checkout is awkward! It slowed everything down! fr,Negative,atlas product quality keeps causing problems checkout awkward slowed fr
1064,2026-03-27,Review,Pulse,app,Pulse's app is decent for the pricing. That is about it. It looks fine for everyday use. 🙃 #test,Neutral,pulse app decent pricing looks fine everyday use test
742,2026-02-18,Twitter,Atlas,service,I am frustrated by Atlas's service; the payment feels clunky. The whole process felt annoying. The whole thing felt more stressful than it should have been. #annoyed,Negative,frustrated atlas service payment feels clunky process felt annoying thing felt stressful annoyed
1273,2026-04-25,Twitter,Nimbus,mobile app,Mobile app from Nimbus is basic overall. That is about it. I might need more time before judging it properly.!! (comment),Neutral,mobile app nimbus basic overall need time judging properly comment
260,2025-12-21,Review,Spark,product quality,"The latest update from Spark feels clean. The pricing part is clean. The experience felt worth it. Not perfect, but definitely better than expected.",Positive,latest update spark feels clean pricing clean experience felt worth not perfect definitely better expected
889,2026-03-07,Comment,Spark,delivery,This version of the delivery from Spark is clunky; the payment is still a problem. The whole process felt annoying. Support kept sending the same reply. any update?,Negative,version delivery spark clunky payment problem process felt annoying support kept sending reply update
1433,2026-05-12,Twitter,Nova,support team,I used the support team from Nova for a bit and it felt okay. I did not notice anything major.,Neutral,used support team nova bit felt okay did not notice major
713,2026-02-13,Twitter,Nova,support team,This version of the support team from Nova is glitchy; the refunds is still a problem. I still had to repeat myself twice. This needs a proper fix before launch. #needsfixing,Negative,version support team nova glitchy refunds problem repeat twice needs proper fix launch needsfixing
1383,2026-05-07,Comment,Orbit,delivery,Orbit's delivery is simple for the support! That is about it!,Neutral,orbit delivery simple support
71,2025-11-29,Twitter,Vertex,product quality,"Honestly, the dashboard on Vertex is fast. I would use it again. Small issues, but nothing that ruined it. any update? (review)",Negative,honestly dashboard vertex fast use small issues ruined update review
1269,2026-04-25,Comment,Orbit,dashboard,Dashboard from Orbit is okay overall. I did not notice anything major. someone help,Neutral,dashboard orbit okay overall did not notice major help
1492,2026-05-22,Review,Vertex,delivery,I checked Vertex's delivery today; the mobile app looks acceptable. That is about it.,Neutral,checked vertex delivery today mobile app looks acceptable
608,2026-02-04,Twitter,Vertex,dashboard,This version of the dashboard from Vertex is unhelpful; the support is still a problem. I still had to repeat myself twice. great job,Negative,version dashboard vertex unhelpful support problem repeat twice great job
434,2026-01-13,Review,Zenith,customer care,The latest update from Zenith feels clean. The onboarding part is clean. The overall flow feels smooth.,Positive,latest update zenith feels clean onboarding clean overall flow feels smooth
52,2025-11-26,Review,Acme,pricing,Acme's pricing is solid when it comes to app. It saved me a lot of time.,Positive,acme pricing solid comes app saved lot time
1200,2026-04-16,Twitter,Nova,product quality,Product quality from Nova is fine overall! That is about it! 😅,Neutral,product quality nova fine overall
1129,2026-04-04,Review,Orbit,customer care,The order flow on Orbit seems middle of the road! It felt pretty average overall! #test,Neutral,order flow orbit middle road felt pretty average overall test
1191,2026-04-12,Twitter,Zenith,customer care,The product page on Zenith seems basic. That is about it. :),Neutral,product page zenith basic
1250,2026-04-19,Twitter,Spark,checkout,The feature list on Spark seems ordinary. It felt pretty average overall.,Neutral,feature list spark ordinary felt pretty average overall
1420,2026-05-11,Comment,Orbit,dashboard,Dashboard from Orbit is decent overall. It felt pretty average overall. any update?,Neutral,dashboard orbit decent overall felt pretty average overall update
433,2026-01-11,Review,Nova,mobile app,Nova's mobile app is clean when it comes to design. It saved me a lot of time.,Positive,nova mobile app clean comes design saved lot time
1453,2026-05-15,Comment,Pulse,pricing,I used Pulse's pricing today; the setup looks decent! That is about it!,Neutral,used pulse pricing today setup looks decent
1471,2026-05-16,Comment,Spark,mobile app,I used the mobile app from Spark for a bit and it felt simple! Nothing really stood out!,Positive,used mobile app spark bit felt simple really stood
1235,2026-04-17,Twitter,Vertex,order flow,The site layout on Vertex seems okay. I did not notice anything major.!!,Neutral,site layout vertex okay did not notice major
1282,2026-04-23,Comment,Summit,customer care,Customer care from Summit is acceptable overall. It seems acceptable for now. :),Neutral,customer care summit acceptable overall acceptable
1086,2026-03-31,Comment,Orbit,pricing,The dashboard on Orbit seems okay. It felt pretty average overall. (tweet),Neutral,dashboard orbit okay felt pretty average overall tweet
611,2026-02-03,Twitter,Zenith,support team,The checkout on Zenith is frustrating. The whole process felt annoying.!! #buggy,Negative,checkout zenith frustrating process felt annoying buggy
1285,2026-04-23,Review,Nova,pricing,Nova's pricing is standard for the feature list. I did not notice anything major.,Positive,nova pricing standard feature list did not notice major
1042,2026-03-27,Comment,Nimbus,customer care,Customer care from Nimbus is acceptable overall. It seems acceptable for now.!!,Positive,customer care nimbus acceptable overall acceptable
221,2025-12-20,Comment,Nova,delivery,"Delivery from Nova was smooth, especially the delivery. I would use it again.",Positive,delivery nova smooth especially delivery use
340,2025-12-31,Twitter,Atlas,customer care,The latest update from Atlas feels helpful. The dashboard part is helpful. I would use it again.!! honestly,Positive,latest update atlas feels helpful dashboard helpful use honestly
424,2026-01-09,Twitter,Orbit,support team,"Support team from Orbit was clean, especially the dashboard. I had no real complaints.!!",Positive,support team orbit clean especially dashboard no real complaints
429,2026-01-11,Comment,Orbit,customer care,Orbit's customer care keeps getting better. The dashboard is helpful. I had no real complaints. for real,Positive,orbit customer care keeps getting better dashboard helpful no real complaints real
1106,2026-04-02,Review,Nimbus,support team,The dashboard on Nimbus seems standard. Nothing really stood out. fix this,Neutral,dashboard nimbus standard really stood fix
77,2025-12-01,Comment,Vertex,pricing,"I am genuinely happy with Vertex's pricing; the dashboard feels helpful. I would use it again. Small issues, but nothing that ruined it.! #loveit",Positive,genuinely happy vertex pricing dashboard feels helpful use small issues ruined loveit
1392,2026-05-06,Review,Zenith,order flow,Zenith's order flow is acceptable for the order flow! It seems acceptable for now! 😅,Neutral,zenith order flow acceptable order flow acceptable
440,2026-01-11,Review,Vertex,order flow,I was pleasantly surprised by Vertex's order flow; the pricing feels reliable. I would use it again. any update?,Positive,pleasantly surprised vertex order flow pricing feels reliable use update
1337,2026-04-30,Comment,Pulse,support team,I used the support team from Pulse for a bit and it felt standard. It felt pretty average overall. Nothing major to flag....,Neutral,used support team pulse bit felt standard felt pretty average overall major flag
865,2026-03-04,Twitter,Acme,mobile app,Acme's mobile app feels unhelpful around login. It slowed everything down.,Negative,acme mobile app feels unhelpful login slowed
1081,2026-03-30,Twitter,Pulse,service,I used Pulse's service today; the feature list looks decent. It seems acceptable for now.,Neutral,used pulse service today feature list looks decent acceptable
355,2026-01-03,Comment,Acme,pricing,"Pricing from Acme was helpful, especially the response time. I would use it again. #smooth",Positive,pricing acme helpful especially response time use smooth
366,2026-01-06,Comment,Nimbus,delivery,The latest update from Nimbus feels nice. The delivery part is nice. The overall flow feels smooth.,Positive,latest update nimbus feels nice delivery nice overall flow feels smooth
310,2025-12-28,Comment,Nova,service,"Service from Nova was smooth, especially the app. It saved me a lot of time.... #goodvibes",Positive,service nova smooth especially app saved lot time goodvibes
737,2026-02-16,Twitter,Vertex,mobile app,I am frustrated by Vertex's mobile app; the refunds feels messy! I still had to repeat myself twice!,Negative,frustrated vertex mobile app refunds feels messy repeat twice
999,2026-03-23,Review,Summit,pricing,The delivery on Summit is awkward. It slowed everything down. The whole thing felt more stressful than it should have been.,Negative,delivery summit awkward slowed thing felt stressful
622,2026-02-05,Comment,Nimbus,customer care,This version of the customer care from Nimbus is confusing; the dashboard is still a problem. The whole process felt annoying.,Negative,version customer care nimbus confusing dashboard problem process felt annoying
544,2026-01-25,Comment,Spark,support team,"Support team from Spark was confusing, especially the checkout. I still had to repeat myself twice. This needs a proper fix before launch. 🙃 pls respond",Negative,support team spark confusing especially checkout repeat twice needs proper fix launch pls respond
1141,2026-04-05,Comment,Nimbus,app,I used Nimbus's app today; the order flow looks basic. It felt pretty average overall.,Neutral,used nimbus app today order flow looks basic felt pretty average overall
1297,2026-04-27,Review,Vertex,pricing,The pricing on Vertex seems ordinary. It seems acceptable for now. I might need more time before judging it properly.,Neutral,pricing vertex ordinary acceptable need time judging properly
555,2026-01-28,Twitter,Nova,checkout,This version of the checkout from Nova is confusing; the login is still a problem. I would not recommend it yet.,Negative,version checkout nova confusing login problem not recommend
680,2026-02-13,Twitter,Acme,delivery,This version of the delivery from Acme is buggy; the notifications is still a problem. I still had to repeat myself twice. someone help #buggy,Negative,version delivery acme buggy notifications problem repeat twice help buggy
50,2025-11-29,Review,Zenith,support team,I am impressed by Zenith's support team; the quality feels simple. I would use it again. #goodvibes,Positive,impressed zenith support team quality feels simple use goodvibes
491,2026-01-21,Comment,Acme,checkout,I am genuinely happy with Acme's checkout; the design feels reliable. It saved me a lot of time. #happy,Positive,genuinely happy acme checkout design feels reliable saved lot time happy
317,2025-12-27,Twitter,Nova,pricing,Nova's pricing keeps getting better! The onboarding is simple! I had no real complaints!,Positive,nova pricing keeps getting better onboarding simple no real complaints
905,2026-03-12,Twitter,Vertex,service,Vertex's service keeps causing problems. The login is awkward. I still had to repeat myself twice.,Negative,vertex service keeps causing problems login awkward repeat twice
637,2026-02-06,Review,Acme,customer care,I was honestly a mess Acme's customer care; the pricing feels messy. It honestly felt like a waste of time. Support kept sending the same reply. #annoyed,Neutral,honestly mess acme customer care pricing feels messy honestly felt like waste time support kept sending reply annoyed
561,2026-01-29,Twitter,Orbit,order flow,The support on Orbit is buggy! It honestly felt like a waste of time!,Negative,support orbit buggy honestly felt like waste time
487,2026-01-17,Comment,Pulse,app,"Honestly, the design on Pulse is clean. It saved me a lot of time. pls respond",Positive,honestly design pulse clean saved lot time pls respond
68,2025-11-28,Comment,Vertex,pricing,Vertex's pricing keeps getting better. The app is solid. I would use it again.!! tbh,Positive,vertex pricing keeps getting better app solid use tbh
812,2026-02-25,Comment,Spark,support team,"Support team from Spark was buggy, especially the dashboard. I still had to repeat myself twice. Support kept sending the same reply. #annoyed",Negative,support team spark buggy especially dashboard repeat twice support kept sending reply annoyed
494,2026-01-22,Twitter,Orbit,customer care,Orbit's customer care keeps getting better. The onboarding is useful. I would use it again.,Positive,orbit customer care keeps getting better onboarding useful use
311,2025-12-27,Review,Acme,delivery,The latest update from Acme feels nice. The support part is nice. The overall flow feels smooth.,Positive,latest update acme feels nice support nice overall flow feels smooth
1097,2026-04-02,Review,Zenith,order flow,Zenith's order flow is middle of the road for the mobile app. I did not notice anything major. There are a few positives and a few limits. (tweet),Neutral,zenith order flow middle road mobile app did not notice major positives limits tweet
1248,2026-04-22,Comment,Orbit,mobile app,Orbit's mobile app is middle of the road for the pricing. That is about it. Nothing major to flag.,Neutral,orbit mobile app middle road pricing major flag
185,2025-12-12,Review,Pulse,mobile app,"Mobile app from Pulse was smooth, especially the quality! The experience felt worth it! #loveit",Positive,mobile app pulse smooth especially quality experience felt worth loveit
